recipe_slug	score_bound
falafel	1.832967250933634
spamburger	1.946047522921388
bacon-fried-rice	1.9579433541990796
chicken-fingers	1.862329495248386
apple-crisp	1.851700548746546
cranberry-apple-crisp	2.3573644900287665
bacon-chocolate-chip-cookies	2.6919113837055004
sujebi	2.441720790269124
pasta-primavera	1.9513930367570989
ramen	2.351265695414889
brownies	2.6958370795661457
bacon-wrapped-scallops	1.8962875789458267
bacon-egg-muffins	2.1674123394820386
breakfast-burritos	2.1020690674461133
bolognese-sauce	1.8708539676141507
croissants	2.593209702277167
bacon-souffle	2.197681749058281
souffle	2.57558088657597
chocolate-souffle	2.5736902731421236
butter-croissants	1.8950709144321665
pickled-green-beans	2.3361138451218584
fried-oysters	2.243567500321528
peanut-butter-brownies	2.584316733769903
almond-chip-cookies	2.609513637839493
guacamole	2.066853260405208
brioche-bread	2.2023963989220117
brioche-bread-with-chocolate	2.632915629988937
asparagus-quiche	2.2727962040846204
asparagus-burger	2.6222535634383224
ma-la-chicken	2.731475637006934
cold-noodles-with-tomatoes	2.012384678266593
tamales	2.4347683305995873
enchiladas	1.9690286181010508
tacos	2.3227891600893273
burritos	2.457152775613441
peanut-butter-cupcakes	2.711550177870633
pickled-asparagus	2.1170494097433865
chocolate-peanut-butter-cake	2.693779146359198
udon	2.3210466637436173
vegetable-lasagna	1.9021034700988761
maple-bacon-donuts	2.4327778073316226
maple-bacon-pancakes	2.6386472783460353
spinach-and-ricotta-stuffed-shells	1.9074581764364265
quesadillas	2.2617884933766352
pico-de-gallo	2.1604265268651357
nachos	2.19578536848767
cold-soba-noodles-with-tomato-and-cucumber	2.4032802578543095
fajitas	2.4328942034647674
loaded-nachos	1.9399934364703495
lasagna	2.0839604159297958
chicken-nuggets	1.9342306615607958
pain-au-chocolat	2.5728814277152106
nacho-dip	2.384901241811853
nacho-salad	1.8768357714246564
nacho-casserole	2.3753557606295734
nacho-fries	2.2319080424959568
tempura-udon	2.627662129705192
peach-crisp	2.234335671989496
apple-pie	2.134981894447851
blueberry-crisp	1.7410401870533598
berry-crumble	1.6896296126865327
strawberry-rhubarb-crisp	2.300387811493315
peach-cobbler	2.402482058631879
cranberry-sauce	2.4783709563907195
cherry-cobbler	1.9635840924243064
apple-crumble	2.7758165669229906
chocolate-croissants	2.5545121847323466
french-toast	2.070830215204606
chocolate-babka	2.86183143331482
cinnamon-babka	2.311058924393424
blueberry-crumble	1.8847815388453113
spam-musubi	2.5453126256528336
taco-salad	1.8687599087749895
chiles-rellenos	2.136951922967024
almond-croissants	2.323174598211711
cranberry-relish	2.271704289724053
ma-la-beef	1.896804898767249
chocolate-cake	2.6334374312608047
spinach-quiche	1.9842588695184629
mushroom-quiche	2.2353171269061276
quiche-lorraine	2.4799208872887037
croissant-aux-amandes	2.561495546406948
danishes	2.5580156343268334
spinach-and-feta-quiche	2.3358118673435033
cold-sesame-noodles	2.3650109055830706
soba-noodle-salad-with-peanut-dressing	1.9006367469517038
dan-dan-noodles	2.6987233350498636
vanilla-souffle	2.055830045375671
bacon-wrapped-dates	1.8915492837802081
cherry-pie	1.8025770923382343
berry-crisp	1.7159043312893671
bacon-and-egg-breakfast-sandwich	2.348704470645357
bacon-wrapped-shrimp-skewers	2.483605817216345
bacon-wrapped-chicken	2.269536100785614
bacon-wrapped-asparagus	2.5506327446951262
bacon-mac-and-cheese	2.1473773435155756
chicken-alfredo-lasagna	2.475176803028507
classic-beef-lasagna	2.1955685702533367
vegetarian-mushroom-lasagna	1.8044135591226849
spinach-and-ricotta-lasagna	1.84433853124846
